county_id_fips,AVERAGE of GHG QUANTITY (METRIC TONS CO2e)
20005,89418
20007,40732.91667
20009,39456.57143
20015,875815.2609
20021,238111.7059
20027,42693
20029,57955.25
20035,13295.44444
20037,41094.41667
20041,39290.66667
20045,827408.8542
20051,25245.04348
20055,433609.8571
20057,155155.8125
20063,48075.8
20067,77143.05714
20077,118528.4167
20079,15222.5
20091,169414.2766
20095,21385.86957
20097,46718.63636
20099,766
20107,7355405.083
20109,45019
20111,119342.1944
20113,325441.6957
20119,22940.44444
20121,60271.1875
20125,546805.4375
20133,346459.6857
20143,23146
20145,34267.875
20147,51750.09091
20149,5925145.458
20151,58229.125
20155,59069.65854
20159,90034.18333
20161,36815.4
20167,52955.54545
20169,56978.66667
20173,92870.51429
20175,78519.39286
20177,211278.8421
20201,21008
20205,82908.28571
20209,287342.1034
21007,103788.7917
21009,115900.8333
21011,58254.33333
21015,1840086.125
21019,649925.4521
21021,95736
21027,34989.18182
21029,31714.20833
21031,41737.08333
21035,1222.727273
21037,128691.0833
21041,2935031.5
21043,80820.66667
21045,59096.83333
21047,54091.41667
21049,183401.9355
21059,616306.5833
21065,36720
21067,80969.9375
21071,18138
21073,38519.78571
21077,268083.3333
21079,61914.5
21081,30200.33333
21083,67106.08333
21089,44830.05882
21091,464409.7167
21093,108964.0625
21099,30484.58333
21101,455744.9655
21107,155206.881
21111,822458.3319
21117,24956.75
21119,67051.5
21125,146911.6667
21127,1278166.875
21131,18102
21137,37802.59091
21141,103936.5833
21145,34584.18182
21151,79020.375
21157,376121.3086
21159,18992.66667
21161,2558981.25
21163,55167.18182
21167,1462605.571
21169,64047
21173,179441
21177,240327.4412
21179,45280.75
21183,952918.1463
21185,41059.41667
21191,427843.75
21193,85079.31429
21195,43578.02174
21197,63452.18182
21199,445822.5909
21205,37387.57143
21207,23819.14286
21209,94789.75
21211,34634
21217,33134.1
21223,3669886.75
21225,59115.91304
21233,754638.7308
21239,49722.5
22001,306826.7527
22003,117294.5
22005,744712.2588
22007,114259.6316
22009,32231.11111
22011,128835.4688
22013,118450.6923
22015,47189.08824
22017,246365.193
22019,763968.8964
22021,50282.125
22023,304786.8313
22027,30411.55556
22031,401731.8133
22033,764565.0219
22037,39839.16667
22039,391440.3333
22047,684542.5529
22049,152298.8214
22051,986586.4483
22053,55039.86364
22055,50980.05769
22057,125391.3
22059,37858.21429
22061,49150.84722
22063,24352.91667
22065,143200.5
22067,46537.17391
22069,121114.8276
22071,189379.7722
22073,298007.3613
22075,751531.0698
22077,2572104.583
22079,1299842.508
22081,82531
22083,58540.12
22085,81600.33333
22087,446204.0933
22089,960753.3467
22091,31651.6875
22093,636374.887
22095,1072631.152
22097,126025.5556
22101,125880.1133
22103,30523
22105,102204.5833
22109,115730.0571
22111,58907.71429
22113,69113.58333
22117,61544
22119,65920.18519
22121,198955.36
22123,94769.94737
22125,74311.66667
23001,23918.5
23003,25483.25
23005,177087.0385
23007,212456.75
23009,361170.8333
23011,16745.83333
23013,195548.3333
23017,304347.75
23019,90288.30667
23023,19437.375
23025,136056.9032
23029,177658.5
23031,84624.33333
24001,678824.9429
24003,1230890.179
24005,38584.6
24009,414395.1667
24011,53936.55556
24013,1368801.733
24015,204204.8108
24017,1533443.094
24019,35541.90909
24021,67329.21429
24023,33315.80488
24025,91302.69697
24027,39137.91304
24031,344764.0488
24033,676065.8136
24041,49788.58333
24043,245049.5185
24045,26038.28571
24047,130156.6667
24510,127099.3351
25001,86702.68421
25003,67438.75
25005,365033.1481
25009,126673.729
25011,25906
25013,117623.7736
25015,42366.47826
25017,270087.0479
25021,350733.7368
25023,83751.95313
25025,71322.64773
25027,156073.4345
26001,32000.41667
26003,103969.8667
26005,48156.71429
26007,1048521.458
26013,27128.26087
26015,41728.20833
26017,1200362.944
26021,49216.5625
26023,33339
26025,55033.96774
26029,389783.0606
26031,16411.66667
26033,40461.5
26035,27650.95122
26037,84981.72414
26039,28299.71429
26041,218834.5313
26043,90079.54167
26045,390501.7059
26049,141770.0784
26053,23531.71429
26055,99951.63636
26059,296351.375
26063,79025.58537
26065,363149.0784
26071,50878.91667
26073,46226.32353
26075,197081.8276
26077,82227.85417
26079,33803.25
26081,86199.30986
26089,166852.4643
26091,48753.4
26093,18961.6
26099,63198.5
26101,202062.0333
26103,718356.4545
26105,200076.7429
26107,38144.58333
26109,44610.86111
26111,831588.5
26113,33494.33333
26115,3015036.119
26117,144989.3125
26119,42870.3913
26121,420479.375
26123,25378.88889
26125,41138.65957
26131,39585.33333
26133,32417.70588
26137,162936.35
26139,1248874.813
26141,41152.16667
26145,40196.37975
26147,1215088.634
26149,31120.19048
26151,46330.125
26153,194849.087
26155,69843
26157,77941.3913
26159,1654027.583
26161,121119.82
26163,520308.3904
26165,82007.3913
27003,33989.09091
27007,23893.08333
27009,81047
27013,131762.6324
27017,75109.61538
27019,1676.25
27023,78600.91667
27027,209074.6316
27031,794333.75
27033,75089.54167
27035,43187.625
27037,712214.1868
27039,95524.83333
27041,28274.2
27043,60454.36364
27045,58298.83333
27047,58031.27586
27049,65572.33333
27053,106016.4516
27057,38591.16667
27059,29208.25
27061,2306169.158
27065,27589
27067,63421.59091
27071,168673.75
27073,31617
27075,711696.1667
27083,106142.5
27085,31170.57576
27089,17471.2
27091,100671.8615
27097,27267.95652
27099,46631.44118
27105,43901.08333
27107,15476.75
27109,47250.20968
27111,257254.1935
27119,385259.2917
27123,193711.0781
27127,51177.29167
27129,228419.8077
27131,86087.73913
27133,23517.16667
27137,247520.8726
27139,69848.59259
27141,3069364.723
27143,163175
27145,43645.23077
27147,46786
27149,37956.83333
27151,50904.41176
27153,31897.25
27161,174269.8333
27163,943215.75
27165,38.57142857
27171,8214.75
28001,76102.33333
28003,32380.55556
28007,469139.4545
28011,15861
28013,45033.33333
28017,101020
28019,1952114.966
28023,87495
28027,39499.5
28031,14796.66667
28033,74020.58333
28035,54458.10345
28041,21193.11111
28045,35198.25926
28047,668932.3125
28049,203014.8451
28053,29471.77778
28059,1767397.494
28061,52219.95
28063,46446
28065,55398.08333
28067,180914.1395
28069,1006622.154
28073,328622.6786
28075,27369.52174
28077,183463.8649
28079,43974.72727
28081,29552.66667
28083,77457.16667
28087,184940.7551
28089,47775.67797
28093,25026
28095,156577.7222
28099,47373.5
28101,35633.33333
28105,145303.9167
28107,434325.7742
28109,90978.08333
28111,86907.32353
28113,35274.54545
28115,146349.9167
28121,45481.77778
28123,47597.45455
28127,110003.8333
28129,63443.26087
28133,44303.09091
28137,38895.6
28139,82703.22222
28141,130218
28143,52080.16667
28145,8500.1
28147,32597.80645
28149,328801.6304
28151,180304.9483
28153,36891.28571
28159,32858.625
28161,99279
28163,2291468.75
29007,45086.77273
29009,20036
29011,69240
29017,56240.5
29019,83814.6
29021,212481.4286
29023,8390.363636
29027,335.0833333
29031,337772.6571
29033,82940.33333
29037,322616.1304
29047,52839.83871
29051,28146
29055,41176.75
29069,291806
29071,15182751
29077,500564.5469
29083,1895794.9
29087,47832.31429
29093,117028.8333
29095,422731.1287
29097,505419.7
29099,2365327.136
29101,65021.45833
29111,53190.16667
29113,28619.44444
29119,89106.25
29121,42411.41667
29127,151773.8095
29139,27194
29143,3705896.957
29145,13338.42857
29147,3500.75
29151,191965.625
29157,40282.33333
29159,72976.42857
29163,169324.5385
29165,6861177.467
29169,47540
29173,768631.5
29175,7614180.5
29183,2359958.25
29186,2088887.528
29187,61617.26087
29189,55129
29195,53737.26316
29201,1531121.769
29207,42209.58333
29211,26686
29217,32172.90909
29221,71442
29229,94210.76923
29510,355103.9091
30003,518683.5
30007,287516.6667
30013,87636.65909
30021,8265.666667
30023,202010.0833
30025,34569.375
30029,19246.07692
30031,146307.2593
30035,18852.33333
30043,271647.4615
30047,9464.666667
30049,15806.44444
30063,49032.91667
30083,170702.6667
30085,47775.21875
30087,7273043.792
30093,20550.02857
30105,22342.25
30111,591310.3625
31001,352715.1452
31011,166742.4167
31019,80669.04762
