,Plant state abbreviation,Plant county name,Number of Power Plants,Powerplant Rank
512,KY,Rowan,1,5
513,KY,Scott,1,5
514,KY,Taylor,1,5
515,KY,Trimble,1,5
516,KY,Webster,2,5
517,LA,Acadia,2,5
518,LA,Ascension,3,5
519,LA,Beauregard,1,5
520,LA,Caddo,2,5
521,LA,Calcasieu,9,5
522,LA,DeSoto,2,5
523,LA,East Baton Rouge,5,5
524,LA,Evangeline,1,5
525,LA,Iberville,4,5
526,LA,Jackson,1,5
527,LA,Jefferson,2,5
528,LA,Lafayette,2,5
529,LA,Lincoln,1,5
530,LA,Natchitoches,1,5
531,LA,Ouachita,5,5
532,LA,Plaquemines,2,5
533,LA,Pointe Coupee,2,5
534,LA,Rapides,2,5
535,LA,St Bernard,2,5
536,LA,St Charles,5,5
537,LA,St James,2,5
538,LA,St Mary,3,5
539,LA,Terrebonne,1,5
540,LA,Washington,1,5
541,LA,West Baton Rouge,1,5
542,LA,West Feliciana,1,5
543,MA,Barnstable,1,5
544,MA,Berkshire,4,5
545,MA,Bristol,7,5
546,MA,Dukes,2,5
547,MA,Essex,9,5
548,MA,Franklin,1,5
549,MA,Hampden,8,5
550,MA,Hampshire,3,5
551,MA,Middlesex,8,5
552,MA,Nantucket,1,5
553,MA,Norfolk,9,5
554,MA,Plymouth,1,5
555,MA,Suffolk,5,5
556,MA,Worcester,12,4
557,MD,Allegany,2,5
558,MD,Anne Arundel,3,5
559,MD,Baltimore,2,5
560,MD,Baltimore City,5,5
561,MD,Calvert,1,5
562,MD,Cecil,2,5
563,MD,Charles,2,5
564,MD,Dorchester,1,5
565,MD,Harford,2,5
566,MD,Howard,1,5
567,MD,Montgomery,5,5
568,MD,Prince Georges,6,5
569,MD,Somerset,3,5
570,MD,Talbot,2,5
571,MD,Wicomico,1,5
572,MD,Worcester,1,5
573,ME,Androscoggin,2,5
574,ME,Aroostook,2,5
575,ME,Cumberland,5,5
576,ME,Franklin,3,5
577,ME,Hancock,1,5
578,ME,Oxford,2,5
579,ME,Penobscot,5,5
580,ME,Somerset,3,5
581,ME,Waldo,1,5
582,ME,Washington,2,5
583,MI,Alcona,1,5
584,MI,Alger,1,5
585,MI,Allegan,3,5
586,MI,Alpena,2,5
587,MI,BAY,1,5
588,MI,Baraga,2,5
589,MI,Bay,3,5
590,MI,Berrien,2,5
591,MI,Branch,1,5
592,MI,Calhoun,4,5
593,MI,Charlevoix,1,5
594,MI,Cheboygan,1,5
595,MI,Chippewa,2,5
596,MI,Clare,1,5
597,MI,Clinton,2,5
598,MI,Crawford,1,5
599,MI,Delta,2,5
600,MI,Dickinson,1,5
601,MI,Eaton,1,5
602,MI,Genesee,3,5
603,MI,Gratiot,1,5
604,MI,Hillsdale,1,5
605,MI,Huron,4,5
606,MI,Ingham,3,5
607,MI,Isabella,1,5
608,MI,Jackson,1,5
609,MI,KENT,1,5
610,MI,Kalamazoo,3,5
611,MI,Kalkaska,1,5
612,MI,Kent,3,5
613,MI,Lenawee,2,5
614,MI,Livingston,1,5
615,MI,Luce,1,5
616,MI,Macomb,3,5
617,MI,Manistee,2,5
618,MI,Marquette,4,5
619,MI,Mason,1,5
620,MI,Midland,1,5
621,MI,Missaukee,1,5
622,MI,Monroe,2,5
623,MI,Montcalm,2,5
624,MI,Montmorency,1,5
625,MI,Muskegon,1,5
626,MI,Newaygo,1,5
627,MI,Oakland,4,5
628,MI,Osceola,2,5
629,MI,Otsego,3,5
630,MI,Ottawa,12,4
631,MI,Saginaw,1,5
632,MI,Sanilac,1,5
633,MI,Schoolcraft,1,5
634,MI,Shiawassee,2,5
635,MI,St Clair,7,5
636,MI,St Joseph,1,5
637,MI,Tuscola,3,5
638,MI,Van Buren,1,5
639,MI,Washtenaw,5,5
640,MI,Wayne,11,5
641,MI,Wexford,1,5
642,MN,Becker,1,5
643,MN,Beltrami,1,5
644,MN,Blue Earth,5,5
645,MN,Brown,2,5
646,MN,Carlton,2,5
647,MN,Carver,2,5
648,MN,Chisago,1,5
649,MN,Clay,1,5
650,MN,Cook,1,5
651,MN,Cottonwood,3,5
652,MN,Dakota,8,5
653,MN,Douglas,1,5
654,MN,Faribault,2,5
655,MN,Fillmore,3,5
656,MN,Goodhue,3,5
657,MN,Hennepin,4,5
658,MN,Isanti,1,5
659,MN,Itasca,2,5
660,MN,Jackson,1,5
661,MN,Kanabec,2,5
662,MN,Kandiyohi,3,5
663,MN,Koochiching,1,5
664,MN,Lake,1,5
665,MN,Le Sueur,2,5
666,MN,Lyon,1,5
667,MN,Martin,3,5
668,MN,McLeod,4,5
669,MN,Meeker,1,5
670,MN,Mille Lacs,1,5
671,MN,Mower,1,5
672,MN,Nobles,2,5
673,MN,Norman,1,5
674,MN,Olmsted,8,5
675,MN,Otter Tail,2,5
676,MN,Pennington,1,5
677,MN,Pine,1,5
678,MN,Ramsey,3,5
679,MN,Redwood,2,5
680,MN,Renville,2,5
681,MN,Rice,3,5
682,MN,Rock,1,5
683,MN,Scott,3,5
684,MN,Sherburne,3,5
685,MN,St Louis,5,5
686,MN,Stearns,2,5
687,MN,Steele,3,5
688,MN,Stevens,1,5
689,MN,Swift,1,5
690,MN,Waseca,1,5
691,MN,Washington,2,5
692,MN,Watonwan,2,5
693,MN,Winona,1,5
694,MN,Wright,2,5
695,MO,Audrain,3,5
696,MO,Bates,1,5
697,MO,Boone,3,5
698,MO,Buchanan,2,5
699,MO,Butler,1,5
700,MO,Callaway,1,5
701,MO,Cape Girardeau,1,5
702,MO,Cass,3,5
703,MO,Chariton,1,5
704,MO,Clark,1,5
705,MO,Cole,3,5
706,MO,Dunklin,3,5
707,MO,Franklin,1,5
708,MO,Greene,4,5
709,MO,Grundy,2,5
710,MO,Howell,1,5
711,MO,Jackson,8,5
712,MO,Jasper,4,5
713,MO,Jefferson,1,5
714,MO,Johnson,1,5
715,MO,Lafayette,1,5
716,MO,Linn,1,5
717,MO,Livingston,1,5
718,MO,Macon,1,5
719,MO,Madison,1,5
720,MO,Marion,3,5
721,MO,New Madrid,1,5
722,MO,Nodaway,1,5
723,MO,Pike,1,5
724,MO,Platte,1,5
725,MO,Putnam,1,5
726,MO,Randolph,2,5
727,MO,Saline,1,5
728,MO,Scott,1,5
729,MO,Shelby,3,5
730,MO,St Charles,1,5
731,MO,St Francois,3,5
732,MO,St Louis,2,5
733,MO,St Louis City,2,5
734,MO,Stoddard,1,5
735,MO,Vernon,1,5
736,MO,Wright,1,5
737,MS,Attala,1,5
738,MS,Benton,1,5
739,MS,Chickasaw,1,5
740,MS,Choctaw,3,5
741,MS,Coahoma,2,5
742,MS,Desoto,1,5
743,MS,Harrison,1,5
744,MS,Hinds,2,5
745,MS,Jackson,2,5
746,MS,Jefferson Davis,1,5
747,MS,Jones,1,5
748,MS,Kemper,2,5
749,MS,Lauderdale,2,5
750,MS,Lawrence,1,5
751,MS,Lowndes,2,5
752,MS,Panola,1,5
753,MS,Perry,1,5
754,MS,Smith,2,5
755,MS,Warren,3,5
756,MS,Washington,1,5
757,MS,Yazoo,2,5
758,MT,Big Horn,1,5
759,MT,Custer,1,5
760,MT,Dawson,1,5
761,MT,Deer Lodge,1,5
762,MT,Flathead,1,5
763,MT,Richland,2,5
764,MT,Roosevelt,1,5
765,MT,Rosebud,2,5
766,MT,Silver Bow,1,5
767,MT,Yellowstone,2,5
768,NC,Anson,2,5
769,NC,Bladen,1,5
770,NC,Brunswick,1,5
771,NC,Buncombe,1,5
772,NC,Burke,5,5
773,NC,Cabarrus,2,5
774,NC,Caldwell,1,5
775,NC,Catawba,4,5
776,NC,Chowan,1,5
777,NC,Cleveland,4,5
778,NC,Columbus,1,5
779,NC,Craven,3,5
780,NC,Cumberland,1,5
781,NC,Dare,1,5
782,NC,Davidson,5,5
